message,annotations
i'm not jollies bout the party tho.,"(""i'm not jollies bout the party tho."", {'entities': []})"
i was totally jolted when i heard the news today.,"('i was totally jolted when i heard the news today.', {'entities': [(14, 20, 'EMOTION_WORD')]})"
"luckily, my day hasn't been jolting at all, just the usual routine.","(""luckily, my day hasn't been jolting at all, just the usual routine."", {'entities': []})"
i'm so jovial right now 🤩🎉,"(""i'm so jovial right now 🤩🎉"", {'entities': [(7, 13, 'EMOTION_WORD')]})"
imagine if we had joviality every day! 🙌✨,"('imagine if we had joviality every day! 🙌✨', {'entities': []})"
i'm so joyful we got to hang out today!,"(""i'm so joyful we got to hang out today!"", {'entities': [(7, 13, 'EMOTION_WORD')]})"
she's been feeling the joys of her new job lately.,"(""she's been feeling the joys of her new job lately."", {'entities': []})"
"i feel so jubilant today, like a kid with a new toy.","('i feel so jubilant today, like a kid with a new toy.', {'entities': [(10, 18, 'EMOTION_WORD')]})"
"tomorrow, i should be all jubilant, even if it's just a normal day.","(""tomorrow, i should be all jubilant, even if it's just a normal day."", {'entities': []})"
i was so keen to see you today.,"('i was so keen to see you today.', {'entities': [(9, 13, 'EMOTION_WORD')]})"
"maybe one day, i'll feel keenly about gardening.","(""maybe one day, i'll feel keenly about gardening."", {'entities': []})"
i'm super leery about going into the spooky forest!,"(""i'm super leery about going into the spooky forest!"", {'entities': [(10, 15, 'EMOTION_WORD')]})"
my sister was leerying when she saw the weird shadow outside.,"('my sister was leerying when she saw the weird shadow outside.', {'entities': []})"
u letting me down now smh,"('u letting me down now smh', {'entities': [(2, 17, 'EMOTION_WORD')]})"
he lets us down every time bro,"('he lets us down every time bro', {'entities': [(3, 15, 'EMOTION_WORD')]})"
feeling liberated after my walk in the sun this morning.,"('feeling liberated after my walk in the sun this morning.', {'entities': [(8, 17, 'EMOTION_WORD')]})"
i heard jane felt liberated after she retired from work.,"('i heard jane felt liberated after she retired from work.', {'entities': []})"
"i felt so lighthearted today, like everything was just really nice.","('i felt so lighthearted today, like everything was just really nice.', {'entities': [(10, 22, 'EMOTION_WORD')]})"
maybe someday i will live lightheartedly and not worry so much.,"('maybe someday i will live lightheartedly and not worry so much.', {'entities': []})"
i liked the cake at the party yesterday.,"('i liked the cake at the party yesterday.', {'entities': [(2, 7, 'EMOTION_WORD')]})"
do you think tom's new shirt is likable?,"(""do you think tom's new shirt is likable?"", {'entities': []})"
"caught up in such limerence lately, it's wild.","(""caught up in such limerence lately, it's wild."", {'entities': [(18, 27, 'EMOTION_WORD')]})"
i'm definitely not limerently vibing with that right now.,"(""i'm definitely not limerently vibing with that right now."", {'entities': []})"
i been feeling so listless these days.,"('i been feeling so listless these days.', {'entities': [(18, 26, 'EMOTION_WORD')]})"
"but today, i don't feel listless at all!","(""but today, i don't feel listless at all!"", {'entities': []})"
still can't believe how livid my mom got about the messy room!,"(""still can't believe how livid my mom got about the messy room!"", {'entities': []})"
at least it's not lividness when i forgot to do the dishes last time lol.,"(""at least it's not lividness when i forgot to do the dishes last time lol."", {'entities': []})"
"really had a loathing for that movie, such a waste of time.","('really had a loathing for that movie, such a waste of time.', {'entities': [(13, 21, 'EMOTION_WORD')]})"
"ugh, guess i should loathe my veggies too, but i just can't do it.","(""ugh, guess i should loathe my veggies too, but i just can't do it."", {'entities': []})"
i longed to see u at the party,"('i longed to see u at the party', {'entities': [(2, 8, 'EMOTION_WORD')]})"
did he say if the meeting was long?,"('did he say if the meeting was long?', {'entities': []})"
"love hanging out with you, it's the best!","(""love hanging out with you, it's the best!"", {'entities': [(0, 4, 'EMOTION_WORD')]})"
do you think everyone loves pizza as much as we do?,"('do you think everyone loves pizza as much as we do?', {'entities': [(22, 27, 'EMOTION_WORD')]})"
my mood totally hit a new low today.,"('my mood totally hit a new low today.', {'entities': [(26, 29, 'EMOTION_WORD')]})"
did you hear someone say it's the lowest day of the week?,"(""did you hear someone say it's the lowest day of the week?"", {'entities': []})"
i once was lustful for that bike.,"('i once was lustful for that bike.', {'entities': [(11, 18, 'EMOTION_WORD')]})"
he was lusting after the ice cream all day.,"('he was lusting after the ice cream all day.', {'entities': []})"
i was so mad when i lost my keys.,"('i was so mad when i lost my keys.', {'entities': [(9, 12, 'EMOTION_WORD')]})"
that class gonna be so maddening if we have homework on the weekend.,"('that class gonna be so maddening if we have homework on the weekend.', {'entities': []})"
"manically finished the project in one night, can't believe it worked out!","(""manically finished the project in one night, can't believe it worked out!"", {'entities': []})"
"dude asked me if manicness is normal or if i should chill, what do u think?","('dude asked me if manicness is normal or if i should chill, what do u think?', {'entities': []})"
i didn't mean to make you feel bad.,"(""i didn't mean to make you feel bad."", {'entities': []})"
sarah was just being mean to everyone yesterday.,"('sarah was just being mean to everyone yesterday.', {'entities': []})"
"feeling so meek rn, like a lil mouse.","('feeling so meek rn, like a lil mouse.', {'entities': [(11, 15, 'EMOTION_WORD')]})"
"he looked at the ground so meekly, like a puppy who did something bad.","('he looked at the ground so meekly, like a puppy who did something bad.', {'entities': []})"
sometimes my dog looks so sad n it makes me think of melancholy,"('sometimes my dog looks so sad n it makes me think of melancholy', {'entities': []})"
whats it mean if someone says melancholic out loud?,"('whats it mean if someone says melancholic out loud?', {'entities': []})"
i felt so mellowed yesterday after hanging out at the park.,"('i felt so mellowed yesterday after hanging out at the park.', {'entities': [(10, 18, 'EMOTION_WORD')]})"
imagine what it would be like if school was all about being the mellowest version of ourselves! 🤔,"('imagine what it would be like if school was all about being the mellowest version of ourselves! 🤔', {'entities': []})"
we had such a merry time at the party.,"('we had such a merry time at the party.', {'entities': [(14, 19, 'EMOTION_WORD')]})"
imagine if it was even merrier with everyone there!,"('imagine if it was even merrier with everyone there!', {'entities': []})"
i'm super miffed about what happened today.,"(""i'm super miffed about what happened today."", {'entities': [(10, 16, 'EMOTION_WORD')]})"
i guess i miff gotta act like it don't matter.,"(""i guess i miff gotta act like it don't matter."", {'entities': []})"
life's been total misery since my game broke.,"(""life's been total misery since my game broke."", {'entities': [(18, 24, 'EMOTION_WORD')]})"
"imagine how miserable it would be if school got canceled forever, lol.","('imagine how miserable it would be if school got canceled forever, lol.', {'entities': []})"
got a lot of misgivings about that party last night :/,"('got a lot of misgivings about that party last night :/', {'entities': [(13, 23, 'EMOTION_WORD')]})"
did u ever misgive about workin there? 🤔,"('did u ever misgive about workin there? 🤔', {'entities': []})"
"i feel so mistrustful right now, like, for real.","('i feel so mistrustful right now, like, for real.', {'entities': [(10, 21, 'EMOTION_WORD')]})"
i ain't mistrusting nobody today tho.,"(""i ain't mistrusting nobody today tho."", {'entities': []})"
was walkin' around kinda morosely after the rain ruined our picnic plans.,"(""was walkin' around kinda morosely after the rain ruined our picnic plans."", {'entities': [(25, 33, 'EMOTION_WORD')]})"
"but hey, no need to be all morose about it, there's always next weekend.","(""but hey, no need to be all morose about it, there's always next weekend."", {'entities': []})"
i'm still mortified about what happened at the meeting yesterday.,"(""i'm still mortified about what happened at the meeting yesterday."", {'entities': [(10, 19, 'EMOTION_WORD')]})"
at least this time nothing's gonna mortify me like that again.,"(""at least this time nothing's gonna mortify me like that again."", {'entities': []})"
i mourned when i heard the sad news yesterday.,"('i mourned when i heard the sad news yesterday.', {'entities': [(2, 9, 'EMOTION_WORD'), (27, 30, 'EMOTION_WORD')]})"
i'm not mourning anymore today; feeling better.,"(""i'm not mourning anymore today; feeling better."", {'entities': []})"
i am moving today yay!,"('i am moving today yay!', {'entities': []})"
she moves like a happy puppy!,"('she moves like a happy puppy!', {'entities': []})"
i was so nervous at the doctor.,"('i was so nervous at the doctor.', {'entities': [(9, 16, 'EMOTION_WORD')]})"
i would be nerving if i ever had to do that again.,"('i would be nerving if i ever had to do that again.', {'entities': []})"
i'm nettled by what happened today.,"(""i'm nettled by what happened today."", {'entities': [(4, 11, 'EMOTION_WORD')]})"
i think tomorrow might nettlesome if things don't change.,"(""i think tomorrow might nettlesome if things don't change."", {'entities': []})"
feeling really nonplussed about what happened at the store today.,"('feeling really nonplussed about what happened at the store today.', {'entities': [(15, 25, 'EMOTION_WORD')]})"
i can't even imagine how nonplussing it would be if that happened at a family dinner.,"(""i can't even imagine how nonplussing it would be if that happened at a family dinner."", {'entities': []})"
i felt so much nostalgia looking at old photos yesterday.,"('i felt so much nostalgia looking at old photos yesterday.', {'entities': [(15, 24, 'EMOTION_WORD')]})"
my friend mary gets all nostalgic when she talks about the old days.,"('my friend mary gets all nostalgic when she talks about the old days.', {'entities': []})"
"i'm so obsessed with that new game, i played it for hours!","(""i'm so obsessed with that new game, i played it for hours!"", {'entities': [(7, 15, 'EMOTION_WORD')]})"
"don't worry, i'm not obsessing over my math homework at all.","(""don't worry, i'm not obsessing over my math homework at all."", {'entities': []})"
i felt so sad when i got ostracized at lunch.,"('i felt so sad when i got ostracized at lunch.', {'entities': [(10, 13, 'EMOTION_WORD'), (25, 35, 'EMOTION_WORD')]})"
what if they ostracize my friend tomorrow too?,"('what if they ostracize my friend tomorrow too?', {'entities': []})"
i'm so outraged by what happened at the concert last night.,"(""i'm so outraged by what happened at the concert last night."", {'entities': [(7, 15, 'EMOTION_WORD')]})"
she was laughing outrageously when she heard the news.,"('she was laughing outrageously when she heard the news.', {'entities': []})"
"i felt so overwhelmed by all the noise today, it was too much.","('i felt so overwhelmed by all the noise today, it was too much.', {'entities': [(10, 21, 'EMOTION_WORD')]})"
sally said the overwhelming love from the family made her cry happy tears.,"('sally said the overwhelming love from the family made her cry happy tears.', {'entities': []})"
"my heart hurts so bad right now, this is so painful.","('my heart hurts so bad right now, this is so painful.', {'entities': [(9, 14, 'EMOTION_WORD'), (44, 51, 'EMOTION_WORD')]})"
"at least things ain't as painfuller as they could be, right?","(""at least things ain't as painfuller as they could be, right?"", {'entities': []})"
i was totally panicking when i lost my homework today!,"('i was totally panicking when i lost my homework today!', {'entities': [(14, 23, 'EMOTION_WORD')]})"
"haha imagine if i became a professional panicker, i'd panic all the time!","(""haha imagine if i became a professional panicker, i'd panic all the time!"", {'entities': []})"
i felt so much paranoiac when i had to talk in front of the class today,"('i felt so much paranoiac when i had to talk in front of the class today', {'entities': [(15, 24, 'EMOTION_WORD')]})"
imagine if i became all paranoiacal just by thinking there's a monster under my bed,"(""imagine if i became all paranoiacal just by thinking there's a monster under my bed"", {'entities': []})"
i am happy u r so patient with me.,"('i am happy u r so patient with me.', {'entities': []})"
i think u will have much patience if u meet him.,"('i think u will have much patience if u meet him.', {'entities': []})"
"ugh, i'm so peeved cuz my game froze!","(""ugh, i'm so peeved cuz my game froze!"", {'entities': [(12, 18, 'EMOTION_WORD')]})"
i should never be peeving over stuff like this.,"('i should never be peeving over stuff like this.', {'entities': []})"
"i'm not feeling penitential or anything, don't worry.","(""i'm not feeling penitential or anything, don't worry."", {'entities': []})"
been feeling real pensive about everything lately.,"('been feeling real pensive about everything lately.', {'entities': [(18, 25, 'EMOTION_WORD')]})"
guess i should start being all pensively thoughtful like they say i should.,"('guess i should start being all pensively thoughtful like they say i should.', {'entities': []})"
got super pepped when i saw the new game trailer!,"('got super pepped when i saw the new game trailer!', {'entities': [(10, 16, 'EMOTION_WORD')]})"
imagine being all peppy if we get it for christmas!,"('imagine being all peppy if we get it for christmas!', {'entities': []})"
i'm so perturbingly tired after that test.,"(""i'm so perturbingly tired after that test."", {'entities': []})"
i hope it won't perturb me too much if we have another one tomorrow.,"(""i hope it won't perturb me too much if we have another one tomorrow."", {'entities': []})"
been feeling so pessimistic about all this stuff lately.,"('been feeling so pessimistic about all this stuff lately.', {'entities': [(16, 27, 'EMOTION_WORD')]})"
"guess i should try to be less of a pessimist, huh?","('guess i should try to be less of a pessimist, huh?', {'entities': []})"
"the movie last night totally petrified me, i couldn't sleep after.","(""the movie last night totally petrified me, i couldn't sleep after."", {'entities': [(29, 38, 'EMOTION_WORD')]})"
"don't worry, i'm not gonna be petrifying you with that story again!","(""don't worry, i'm not gonna be petrifying you with that story again!"", {'entities': []})"
"ugh, my boss was super petulant in that meeting today.","('ugh, my boss was super petulant in that meeting today.', {'entities': []})"
"imagine if people acted all petulantly at the party, it would be such a mess!","('imagine if people acted all petulantly at the party, it would be such a mess!', {'entities': []})"
"i was so phobic when i saw that spider, i almost screamed!","('i was so phobic when i saw that spider, i almost screamed!', {'entities': [(9, 15, 'EMOTION_WORD')]})"
i gotta be more phobically aware of creepy crawlies like that.,"('i gotta be more phobically aware of creepy crawlies like that.', {'entities': []})"
i pined all day and got so tired.,"('i pined all day and got so tired.', {'entities': [(2, 7, 'EMOTION_WORD')]})"
he sure pines for the farm life a lot.,"('he sure pines for the farm life a lot.', {'entities': []})"
u got me piqued by what u said.,"('u got me piqued by what u said.', {'entities': [(9, 15, 'EMOTION_WORD')]})"
he's been piquing her interest with his jokes.,"(""he's been piquing her interest with his jokes."", {'entities': []})"
"can't believe i gotta say this, but i'm real pissed about that mess.","(""can't believe i gotta say this, but i'm real pissed about that mess."", {'entities': [(45, 51, 'EMOTION_WORD')]})"
seems like bob's been super pissy since the weekend.,"(""seems like bob's been super pissy since the weekend."", {'entities': []})"
"i feel full of playfulness today, just like a kid.","('i feel full of playfulness today, just like a kid.', {'entities': [(15, 26, 'EMOTION_WORD')]})"
did you hear about those young folks dancing so playful in the park?,"('did you hear about those young folks dancing so playful in the park?', {'entities': []})"
"when i couldn't find my lost dog, it was total powerlessness.","(""when i couldn't find my lost dog, it was total powerlessness."", {'entities': [(47, 60, 'EMOTION_WORD')]})"
he looked so powerless when he didn't get picked for the team.,"(""he looked so powerless when he didn't get picked for the team."", {'entities': []})"
kinda got preoccupied with my video game and forgot to do my homework.,"('kinda got preoccupied with my video game and forgot to do my homework.', {'entities': [(10, 21, 'EMOTION_WORD')]})"
"this weekend isn't gonna be like that, promise not to get preoccupied again!","(""this weekend isn't gonna be like that, promise not to get preoccupied again!"", {'entities': []})"
i felt really pressed when i couldn't find my keys this morning.,"(""i felt really pressed when i couldn't find my keys this morning."", {'entities': [(14, 21, 'EMOTION_WORD')]})"
i guess i gotta start pressing myself to be more organized now.,"('i guess i gotta start pressing myself to be more organized now.', {'entities': []})"
i am proud of you for what you did today.,"('i am proud of you for what you did today.', {'entities': [(5, 10, 'EMOTION_WORD')]})"
she was the proudest mom at the show.,"('she was the proudest mom at the show.', {'entities': []})"
i was so happy when i did the math test proficiently!,"('i was so happy when i did the math test proficiently!', {'entities': [(9, 14, 'EMOTION_WORD')]})"
it would be super cool if i became a math proficient like my big brother someday.,"('it would be super cool if i became a math proficient like my big brother someday.', {'entities': []})"
i got so psyched when i found my old record player playing again.,"('i got so psyched when i found my old record player playing again.', {'entities': [(9, 16, 'EMOTION_WORD')]})"
i guess i'd be psyching myself up if i ever watched those scary movies at night.,"(""i guess i'd be psyching myself up if i ever watched those scary movies at night."", {'entities': []})"
i felt so pumped when i scored that goal today!,"('i felt so pumped when i scored that goal today!', {'entities': [(10, 16, 'EMOTION_WORD')]})"
imagine me pumping the crowd up every time i play!,"('imagine me pumping the crowd up every time i play!', {'entities': []})"
"we had a big quarrel yesterday, and it really got to me.","('we had a big quarrel yesterday, and it really got to me.', {'entities': []})"
we should try to avoid getting so quarrelsome all the time.,"('we should try to avoid getting so quarrelsome all the time.', {'entities': []})"
i was so rankled by the way he talked to me yesterday.,"('i was so rankled by the way he talked to me yesterday.', {'entities': [(9, 16, 'EMOTION_WORD')]})"
i can imagine how much it would rankle if it happens again.,"('i can imagine how much it would rankle if it happens again.', {'entities': []})"
my brain is rattled from that math test.,"('my brain is rattled from that math test.', {'entities': [(12, 19, 'EMOTION_WORD')]})"
i gotta rattle through my chores before dinner.,"('i gotta rattle through my chores before dinner.', {'entities': []})"
i am ready to pop,"('i am ready to pop', {'entities': []})"
i aint gonna explode,"('i aint gonna explode', {'entities': []})"
i felt scared when the snake recoiled at me!,"('i felt scared when the snake recoiled at me!', {'entities': [(7, 13, 'EMOTION_WORD')]})"
i am not recoiling now cuz i'm brave.,"(""i am not recoiling now cuz i'm brave."", {'entities': [(31, 36, 'EMOTION_WORD')]})"
i am reeling from all this news.,"('i am reeling from all this news.', {'entities': [(5, 12, 'EMOTION_WORD')]})"
he reels like he seen a ghost.,"('he reels like he seen a ghost.', {'entities': []})"
i totally regret not going to the party last night.,"('i totally regret not going to the party last night.', {'entities': [(10, 16, 'EMOTION_WORD')]})"
i'm not feeling regretful about skipping the homework though.,"(""i'm not feeling regretful about skipping the homework though."", {'entities': []})"
relaxed.,"('relaxed.', {'entities': [(0, 7, 'EMOTION_WORD')]})"
no time to relax now.,"('no time to relax now.', {'entities': []})"
i'm so relieved we're done with that exam!,"(""i'm so relieved we're done with that exam!"", {'entities': [(7, 15, 'EMOTION_WORD')]})"
"i gotta relieve my stress soon, or else i'll go crazy.","(""i gotta relieve my stress soon, or else i'll go crazy."", {'entities': []})"
i'm really relishing this awesome pizza rn!,"(""i'm really relishing this awesome pizza rn!"", {'entities': [(11, 20, 'EMOTION_WORD')]})"
sarah always relishes any chance to go to the beach.,"('sarah always relishes any chance to go to the beach.', {'entities': []})"
"ugh, i was so reluctant to do my homework today!","('ugh, i was so reluctant to do my homework today!', {'entities': [(14, 23, 'EMOTION_WORD')]})"
"but hey, don't worry, i'm not reluctant to go to the park later.","(""but hey, don't worry, i'm not reluctant to go to the park later."", {'entities': []})"
"i feel really remorseful for breaking your toy, i'm really sorry.","(""i feel really remorseful for breaking your toy, i'm really sorry."", {'entities': [(14, 24, 'EMOTION_WORD'), (59, 64, 'EMOTION_WORD')]})"
"but don't worry, i'm not full of remorse about stealing cookies from the jar.","(""but don't worry, i'm not full of remorse about stealing cookies from the jar."", {'entities': []})"
i'm so repulsed by that old sandwich i found in the fridge.,"(""i'm so repulsed by that old sandwich i found in the fridge."", {'entities': []})"
he was repelling everyone with that bad attitude of his.,"('he was repelling everyone with that bad attitude of his.', {'entities': []})"
i am feeling very repentant about what i said yesterday.,"('i am feeling very repentant about what i said yesterday.', {'entities': [(18, 27, 'EMOTION_WORD')]})"
i guess he really needs to repent for what he did.,"('i guess he really needs to repent for what he did.', {'entities': []})"
"he was just standing there, looking all reproached and upset about the whole thing.","('he was just standing there, looking all reproached and upset about the whole thing.', {'entities': []})"
really hated how things went down yesterday.,"('really hated how things went down yesterday.', {'entities': [(7, 12, 'EMOTION_WORD')]})"
"don't worry, i ain't holding any resentment about it anymore.","(""don't worry, i ain't holding any resentment about it anymore."", {'entities': []})"
i'm happy because i finally made the reservations for our dinner.,"(""i'm happy because i finally made the reservations for our dinner."", {'entities': [(4, 9, 'EMOTION_WORD')]})"
"i don't need to reserve any more time for this decision, i'm all set.","(""i don't need to reserve any more time for this decision, i'm all set."", {'entities': []})"
"i feel so resigned about the whole thing, can't even deal.","(""i feel so resigned about the whole thing, can't even deal."", {'entities': [(10, 18, 'EMOTION_WORD')]})"
i heard she's resigning because she's just over it.,"(""i heard she's resigning because she's just over it."", {'entities': []})"
i was super sad when i felt restrained in my class.,"('i was super sad when i felt restrained in my class.', {'entities': [(12, 15, 'EMOTION_WORD'), (28, 38, 'EMOTION_WORD')]})"
"imagine if i had to stay restrained every day like a robot, that would be bad.","('imagine if i had to stay restrained every day like a robot, that would be bad.', {'entities': []})"
i can't believe how revengeful i felt about that.,"(""i can't believe how revengeful i felt about that."", {'entities': [(20, 30, 'EMOTION_WORD')]})"
she said he avenged his brother's honor last week.,"(""she said he avenged his brother's honor last week."", {'entities': []})"
i was super reverent at the concert last night.,"('i was super reverent at the concert last night.', {'entities': [(12, 20, 'EMOTION_WORD')]})"
not really reverencing this boring lecture today.,"('not really reverencing this boring lecture today.', {'entities': []})"
"i was totally revulsed by that movie last night, it was so gross.","('i was totally revulsed by that movie last night, it was so gross.', {'entities': [(14, 22, 'EMOTION_WORD')]})"
"imagine if we went again and you got totally revulsed too, that’d be wild!","('imagine if we went again and you got totally revulsed too, that’d be wild!', {'entities': []})"
imagine feeling righteous like that every day!,"('imagine feeling righteous like that every day!', {'entities': []})"
that movie really got me riled up.,"('that movie really got me riled up.', {'entities': [(25, 30, 'EMOTION_WORD')]})"
"i guess if someone riles me like that, i'll just avoid them.","(""i guess if someone riles me like that, i'll just avoid them."", {'entities': []})"
i'm totally rockin' my new shoes today!,"(""i'm totally rockin' my new shoes today!"", {'entities': []})"
"but my math test didn't get rocked, ugh.","(""but my math test didn't get rocked, ugh."", {'entities': []})"
"i'm so rueful about what happened at the game yesterday, it was so embarrassing!","(""i'm so rueful about what happened at the game yesterday, it was so embarrassing!"", {'entities': [(7, 13, 'EMOTION_WORD'), (67, 79, 'EMOTION_WORD')]})"
"anyway, i'm not really rues about my grades, i think they're gonna be fine.","(""anyway, i'm not really rues about my grades, i think they're gonna be fine."", {'entities': []})"
went all ruthless when we lost the game,"('went all ruthless when we lost the game', {'entities': [(9, 17, 'EMOTION_WORD')]})"
but no one said i did it ruthlessly tho,"('but no one said i did it ruthlessly tho', {'entities': []})"
i'm so sad today.,"(""i'm so sad today."", {'entities': [(7, 10, 'EMOTION_WORD')]})"
she looks sadder than me.,"('she looks sadder than me.', {'entities': []})"
"ugh, losing the game made me so salty right now.","('ugh, losing the game made me so salty right now.', {'entities': [(32, 37, 'EMOTION_WORD')]})"
"imagine if i was even saltier, i'd be a total ocean!","(""imagine if i was even saltier, i'd be a total ocean!"", {'entities': []})"
feeling too sanguine lately about stuff.,"('feeling too sanguine lately about stuff.', {'entities': [(12, 20, 'EMOTION_WORD')]})"
he was all sanguinely cheering her up today.,"('he was all sanguinely cheering her up today.', {'entities': []})"
"i feel so sappy right now, like everything makes me wanna cry happy tears.","('i feel so sappy right now, like everything makes me wanna cry happy tears.', {'entities': [(10, 15, 'EMOTION_WORD')]})"
i guess i'm sapped to pretend to like broccoli 'cause i know it's healthy.,"(""i guess i'm sapped to pretend to like broccoli 'cause i know it's healthy."", {'entities': [(12, 18, 'EMOTION_WORD')]})"
i felt schadenfreude when mark fell off his bike lol,"('i felt schadenfreude when mark fell off his bike lol', {'entities': [(7, 20, 'EMOTION_WORD')]})"
"imagine if i was schadenfreudic all the time, that would be so funny!","('imagine if i was schadenfreudic all the time, that would be so funny!', {'entities': []})"
i was really scorned when they didn't invite me to the party.,"(""i was really scorned when they didn't invite me to the party."", {'entities': [(13, 20, 'EMOTION_WORD')]})"
i'm not feeling scornful about it anymore though.,"(""i'm not feeling scornful about it anymore though."", {'entities': []})"
feeling pretty secure knowing all the kids are home.,"('feeling pretty secure knowing all the kids are home.', {'entities': [(15, 21, 'EMOTION_WORD')]})"
can't say the new job makes me feel very secure right now.,"(""can't say the new job makes me feel very secure right now."", {'entities': []})"
"i was so mad like that time tommy took my snack, just totally seething about it!","('i was so mad like that time tommy took my snack, just totally seething about it!', {'entities': [(9, 12, 'EMOTION_WORD'), (62, 70, 'EMOTION_WORD')]})"
"but don't worry, i'm not seethed anymore, it's all cool now.","(""but don't worry, i'm not seethed anymore, it's all cool now."", {'entities': []})"
been self-castigating so much lately,"('been self-castigating so much lately', {'entities': []})"
not gonna do that self-castigation stuff no more,"('not gonna do that self-castigation stuff no more', {'entities': []})"
i can't stop this self-condemning feeling from creeping in.,"(""i can't stop this self-condemning feeling from creeping in."", {'entities': [(18, 33, 'EMOTION_WORD')]})"
"but today, at least, i'm not self-condemned like before.","(""but today, at least, i'm not self-condemned like before."", {'entities': []})"
"felt so much self-conscious today, kinda awkward.","('felt so much self-conscious today, kinda awkward.', {'entities': [(13, 27, 'EMOTION_WORD')]})"
"i'm not acting self-conscious now though, promise.","(""i'm not acting self-conscious now though, promise."", {'entities': []})"
got caught up in self-flagellating over that old mistake again.,"('got caught up in self-flagellating over that old mistake again.', {'entities': [(17, 34, 'EMOTION_WORD')]})"
he heard mary was into self-flagellation when she messed up last time.,"('he heard mary was into self-flagellation when she messed up last time.', {'entities': []})"
i got so much self-hate sometimes.,"('i got so much self-hate sometimes.', {'entities': [(14, 23, 'EMOTION_WORD')]})"
he was full of self-hatred like a stormy night.,"('he was full of self-hatred like a stormy night.', {'entities': []})"
i feel so self-loathing right now.,"('i feel so self-loathing right now.', {'entities': [(10, 23, 'EMOTION_WORD')]})"
i think she's been acting all self-loathingness today.,"(""i think she's been acting all self-loathingness today."", {'entities': []})"
i felt all sentimental when i saw those old photos today.,"('i felt all sentimental when i saw those old photos today.', {'entities': [(11, 22, 'EMOTION_WORD')]})"
"if i were to watch our wedding video tomorrow, i'd probably get all sentimentally mushy.","(""if i were to watch our wedding video tomorrow, i'd probably get all sentimentally mushy."", {'entities': []})"
i felt so serene looking at the sunset today.,"('i felt so serene looking at the sunset today.', {'entities': [(10, 16, 'EMOTION_WORD')]})"
we got to stay serener even when things get tough.,"('we got to stay serener even when things get tough.', {'entities': []})"
i was really shook by the news yesterday.,"('i was really shook by the news yesterday.', {'entities': [(13, 18, 'EMOTION_WORD')]})"
seems like mary shakes with excitement every time a new episode airs.,"('seems like mary shakes with excitement every time a new episode airs.', {'entities': []})"
my heart shattered when i heard the news.,"('my heart shattered when i heard the news.', {'entities': [(9, 18, 'EMOTION_WORD')]})"
he's shattered about what happened yesterday.,"(""he's shattered about what happened yesterday."", {'entities': []})"
i felt so sheepish when i tripped in front of everyone.,"('i felt so sheepish when i tripped in front of everyone.', {'entities': [(10, 18, 'EMOTION_WORD')]})"
imagine being so lost in thought that you sheepishly wave at the wrong person.,"('imagine being so lost in thought that you sheepishly wave at the wrong person.', {'entities': []})"
i was truly shocked by the news today.,"('i was truly shocked by the news today.', {'entities': [(12, 19, 'EMOTION_WORD')]})"
i'm not feeling any shocking excitement about tomorrow's event.,"(""i'm not feeling any shocking excitement about tomorrow's event."", {'entities': []})"
"was so short tempered in the game yesterday, threw the controller!","('was so short tempered in the game yesterday, threw the controller!', {'entities': [(7, 21, 'EMOTION_WORD')]})"
do u think short-temperedness means u get mad easily?,"('do u think short-temperedness means u get mad easily?', {'entities': []})"
was crazy shy at the party yesterday,"('was crazy shy at the party yesterday', {'entities': [(10, 13, 'EMOTION_WORD')]})"
does he ever get shyness around new ppl?,"('does he ever get shyness around new ppl?', {'entities': []})"
i was so skeptical when mom said we're getting a puppy!,"(""i was so skeptical when mom said we're getting a puppy!"", {'entities': [(9, 18, 'EMOTION_WORD')]})"
jenny was full of skepticism about the new kid joining our class.,"('jenny was full of skepticism about the new kid joining our class.', {'entities': []})"
"got a bad case of the skittishness this morning, almost dropped my coffee!","('got a bad case of the skittishness this morning, almost dropped my coffee!', {'entities': [(22, 34, 'EMOTION_WORD')]})"
"guess my nerves ain't what they used to be, not feeling very skittly anymore.","(""guess my nerves ain't what they used to be, not feeling very skittly anymore."", {'entities': []})"
i was so smug when i won the game!,"('i was so smug when i won the game!', {'entities': [(9, 13, 'EMOTION_WORD')]})"
my brother always looks so smugger when he gets ice cream.,"('my brother always looks so smugger when he gets ice cream.', {'entities': []})"
feeling kinda solaced after that talk with you.,"('feeling kinda solaced after that talk with you.', {'entities': [(14, 21, 'EMOTION_WORD')]})"
looks like she finds the beach super solaceful!,"('looks like she finds the beach super solaceful!', {'entities': []})"
feeling super somber today :(,"('feeling super somber today :(', {'entities': [(14, 20, 'EMOTION_WORD')]})"
"nah, i'm def not the somberest i've ever been tho!","(""nah, i'm def not the somberest i've ever been tho!"", {'entities': []})"
"my legs hurt after the big game, it was the sorest i've ever been!","(""my legs hurt after the big game, it was the sorest i've ever been!"", {'entities': []})"
i think his knee is sorer than mine after he fell.,"('i think his knee is sorer than mine after he fell.', {'entities': []})"
feels like a big sorrow in my heart,"('feels like a big sorrow in my heart', {'entities': [(17, 23, 'EMOTION_WORD')]})"
have u ever seen something so sorrowful?,"('have u ever seen something so sorrowful?', {'entities': []})"
i was so sorriest about missing your party.,"('i was so sorriest about missing your party.', {'entities': []})"
guess i should be sorrier when i skip out on stuff like that.,"('guess i should be sorrier when i skip out on stuff like that.', {'entities': []})"
